movieId,title,genres,overview,poster_url
45,To Die For (1995),Comedy|Drama|Thriller,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",https://image.tmdb.org/t/p/w500/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg
46,How to Make an American Quilt (1995),Drama|Romance,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",https://image.tmdb.org/t/p/w500/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,No overview available.,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?q=80&w=500&auto=format&fit=crop
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",https://image.tmdb.org/t/p/w500/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
49,When Night Is Falling (1995),Drama|Romance,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg
53,Lamerica (1994),Adventure|Drama,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",https://image.tmdb.org/t/p/w500/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg
54,"Big Green, The (1995)",Children|Comedy,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",https://image.tmdb.org/t/p/w500/nVHqIuBTcTLmAIrML7T704UwfNI.jpg
55,Georgia (1995),Drama,"Rebellious, uncontrollable teenager, Rachel is hauled off by her dysfunctional mother to spend the summer with her estranged grandmother, Georgia. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",https://image.tmdb.org/t/p/w500/9C7VaTib40dBaBrefxFesQ7pbKW.jpg
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",https://image.tmdb.org/t/p/w500/1y8KAZOKrdmTI2sddcilcbRsMtI.jpg
57,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",https://image.tmdb.org/t/p/w500/3zqlKdOttWyExzopVxglz50Vjxq.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",https://image.tmdb.org/t/p/w500/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,https://image.tmdb.org/t/p/w500/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg
61,Eye for an Eye (1996),Drama|Thriller,"Anna, grieving the sudden death of her parents, relocates from New York to a small Florida town to live with the grandmother she has never met. Isolated, vulnerable, and in need of friends, she finds brief solace in the company of two local teens. But when she becomes complicit to their unforgivable act of violence, she finds herself ensnared by Mr. Sandman – the twisted soul of a tormented child who haunts bullies’ dreams before feasting on their eyeballs when they finally wake - Anna must right her wrong before becoming a victim of this gruesome curse.",https://image.tmdb.org/t/p/w500/lpepbfVziHJLhVoxTEKs8ok00iu.jpg
62,Mr. Holland's Opus (1995),Drama,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",https://image.tmdb.org/t/p/w500/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",https://image.tmdb.org/t/p/w500/9gqMAFr81RCHzjUDUuDT2CllbTD.jpg
64,Two if by Sea (1996),Comedy|Romance,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",https://image.tmdb.org/t/p/w500/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg
65,Bio-Dome (1996),Comedy,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",https://image.tmdb.org/t/p/w500/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"Now a shattered mind lurking in cyberspace, Jobe plots a return by hijacking a global VR network and rebuilding himself as something far beyond human. As reality starts to glitch, a small group races to stop a digital god who no longer needs a body.",https://image.tmdb.org/t/p/w500/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg
67,Two Bits (1995),Drama,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",https://image.tmdb.org/t/p/w500/ianK4zwR5Vv4JSDm3sNDh3kH86I.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w500/xlLnHizshGBwMiNrnop2kg2nYzE.jpg
69,Friday (1995),Comedy,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",https://image.tmdb.org/t/p/w500/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious clientele.",https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
71,Fair Game (1995),Action,"A devoted wife and mother leads a secret life as a CIA agent until her husband’s article exposes a scandal, putting her identity and loved ones at risk. As her world crumbles, she must navigate the fallout of her double life.",https://image.tmdb.org/t/p/w500/tX2cafjaDnEOi50xnUIloAc2fp2.jpg
72,Kicking and Screaming (1995),Comedy|Drama,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",https://image.tmdb.org/t/p/w500/ynAtSpTou7snNOq32djzILw9VCA.jpg
73,"Misérables, Les (1995)",Drama|War,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France. Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",https://image.tmdb.org/t/p/w500/6CuzBs2Lb8At7qQr64mLXg2RYRb.jpg
74,Bed of Roses (1996),Drama|Romance,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",https://image.tmdb.org/t/p/w500/zCXvHCEm8334d0d646ldDkXnKws.jpg
75,Big Bully (1996),Comedy|Drama,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",https://image.tmdb.org/t/p/w500/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",https://image.tmdb.org/t/p/w500/eqgBf791rMZG7ywHfObpXeMpiRf.jpg
77,Nico Icon (1995),Documentary,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",https://image.tmdb.org/t/p/w500/jNBnuK9DReslsqWyWLrJJVOSWk4.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.",https://image.tmdb.org/t/p/w500/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg
79,"Juror, The (1996)",Drama|Thriller,"Struggling single mother Annie Laird impulsively agrees to serve on a jury, hoping for a little excitement in her humdrum life. But she gets far more than she bargained for when she's forced to sacrifice the truth to save her son from the mob's seductive, psychotic enforcer.",https://image.tmdb.org/t/p/w500/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://image.tmdb.org/t/p/w500/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Five different criminals face imminent death after botching a job quite badly.,https://image.tmdb.org/t/p/w500/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,https://image.tmdb.org/t/p/w500/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg
